# EBSD_xcoord EBSD_ycoord CLSM_xcoord CLSM_ycoord
2.491756272401433989e+02 1.926410510414216333e+02 2.571492473118279918e+02 2.865649057625573732e+02
3.209382078853047346e+02 2.815556335107634141e+02 2.880470250896058246e+02 2.627708625665363797e+02
2.880470250896058246e+02 3.241344476510115555e+02 2.985435483870967346e+02 2.383249780350157039e+02
2.880470250896058246e+02 2.314629109928245327e+02 2.960206451612903606e+02 2.252013206780821690e+02
3.408722580645161884e+02 2.139304581115459030e+02 3.578162007168459127e+02 1.913887329784733708e+02
0.000000000000000000e+00 1.183666056126066906e+02 3.398755555555556498e+02 1.938933691043702936e+02
0.000000000000000000e+00 1.620820485457805944e+02 3.398755555555556498e+02 1.989026413561641959e+02
3.542562514884062921e+02 0.000000000000000000e+00 3.508392831541219152e+02 2.226966845521851894e+02
3.578162007168459127e+02 2.126781400485974416e+02 3.319019354838710001e+02 2.314629109928245327e+02
3.498425806451613767e+02 2.101735039227004620e+02 3.608063082437276421e+02 2.226966845521851894e+02
3.817370609318997481e+02 2.577615903147425342e+02 3.438623655913979178e+02 2.765463612589695686e+02
3.618030107526881807e+02 2.527523180629486035e+02 3.717700358422940212e+02 2.139304581115459030e+02
3.368854480286739204e+02 3.078543128326814440e+02 3.398755555555556498e+02 3.003404044549905620e+02
3.528326881720431061e+02 2.803033154478149527e+02 2.501723297491039943e+02 2.978357683290936393e+02
1.435251612903226146e+02 3.667132617912596970e+02 1.564822939068100709e+02 3.504331269729295855e+02
